study_accession,accession,condition,run,fq1,fq2
GSE156171,GSM4725978,BCC,SRR12446379,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446379_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446379_2.fastq
GSE156171,GSM4725979,BCC,SRR12446380,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446380_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446380_2.fastq
GSE156171,GSM4725980,BCC,SRR12446381,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446381_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446381_2.fastq
GSE156171,GSM4725981,BCC,SRR12446382,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446382_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446382_2.fastq
GSE156171,GSM4725982,BCC,SRR12446383,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446383_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446383_2.fastq
GSE156171,GSM4725983,BCC,SRR12446384,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446384_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446384_2.fastq
GSE156171,GSM4725984,BCC,SRR12446385,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446385_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446385_2.fastq
GSE156171,GSM4725985,BCC,SRR12446386,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446386_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446386_2.fastq
GSE156171,GSM4725986,BCC,SRR12446387,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446387_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446387_2.fastq
GSE156171,GSM4725987,BCC,SRR12446388,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446388_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446388_2.fastq
GSE156171,GSM4725988,BCC,SRR12446389,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446389_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446389_2.fastq
